season_year,sport_id,gender,category_id,country_id,number_of_games,pa_coefficient,innings_pitched_percent
2024,BB,M,U15,BE,7,2.7,0.8
2024,BB,M,D1,BE,10,2.7,0.8
2024,BB,M,D2,BE,5,2.7,0.8
2024,BB,M,D3,BE,7,2.7,0.8
2024,BB,M,D4,BE,8,2.7,0.8
2024,SBFP,F,D1,BE,15,2.7,0.8
2024,SBFP,F,D2,BE,14,2.7,0.8
2024,SBFP,F,D3,BE,6,2.7,0.8
2024,SBFP,M,D1,BE,4,2.7,0.8
2024,SBFP,M,RESERVES,BE,4,2.7,0.8
2024,BB,M,HK,NL,22,2.7,0.8
2024,SBFP,F,SHK,NL,14,2.7,0.8
2024,BB,M,A,IT,15,2.7,0.8
2024,BB,M,ABDL,AT,14,2.7,0.8
2024,BB,M,SBL,ES,20,2.7,0.8
2024,SBFP,F,SSL,ES,22,2.7,0.8
2024,BB,M,NBL,GB,10,2.7,0.8
2023,BB,M,U15,BE,16,2.7,0.8
2023,BB,M,D1,BE,40,2.7,0.8
2023,BB,M,D2,BE,14,2.7,0.8
2023,BB,M,D3,BE,12,2.7,0.8
2023,BB,M,D4,BE,13,2.7,0.8
2023,BB,M,HK,NL,53,2.7,0.8
2023,BB,M,A,IT,37,2.7,0.8
2023,BB,M,SBL,ES,29,2.7,0.8
2022,BB,M,D1,BE,35,2.7,0.8
2022,BB,M,D2,BE,14,2.7,0.8
2022,BB,M,D3,BE,12,2.7,0.8
2022,BB,M,D4,BE,13,2.7,0.8
2022,BB,M,HK,NL,43,2.7,0.8
2022,BB,M,A,IT,36,2.7,0.8
2022,BB,M,SBL,ES,27,2.7,0.8
2021,BB,M,D1,BE,10,2.7,0.8
2021,BB,M,D2,BE,10,2.7,0.8
2021,BB,M,D3,BE,10,2.7,0.8
2021,BB,M,D4,BE,10,2.7,0.8
2021,BB,M,HK,NL,45,2.7,0.8
2021,BB,M,A,IT,30,2.7,0.8
2020,BB,M,A,IT,28,2.7,0.8
2019,BB,M,A,IT,24,2.7,0.8
2021,BB,M,SBL,ES,27,2.7,0.8
2023,SBFP,F,D1,BE,41,2.7,0.8
2023,SBFP,F,D2,BE,25,2.7,0.8
2023,SBFP,F,D3,BE,10,2.7,0.8
2022,SBFP,F,D1,BE,40,2.7,0.8
2022,SBFP,F,D2,BE,25,2.7,0.8
2022,SBFP,F,D3,BE,10,2.7,0.8
2021,SBFP,F,D1,BE,10,2.7,0.8
2021,SBFP,F,D2,BE,10,2.7,0.8
2021,SBFP,F,D3,BE,10,2.7,0.8
2023,SBFP,M,D1,BE,18,2.7,0.8
2023,SBFP,M,RESERVES,BE,11,2.7,0.8
2022,SBFP,M,D1,BE,16,2.7,0.8
2022,SBFP,M,RESERVES,BE,10,2.7,0.8
2021,SBFP,M,D1,BE,10,2.7,0.8
2021,SBFP,M,RESERVES,BE,10,2.7,0.8
2023,BB,M,ABDL,AT,29,2.7,0.8
2022,BB,M,ABDL,AT,31,2.7,0.8
2021,BB,M,ABDL,AT,30,2.7,0.8
2023,SBFP,F,SSL,ES,35,2.7,0.8
2022,SBFP,F,SSL,ES,35,2.7,0.8
2023,SBFP,F,SHK,NL,47,2.7,0.8
2022,SBFP,F,SHK,NL,41,2.7,0.8
2021,SBFP,F,SHK,NL,45,2.7,0.8
